x y u v
0 -25 0 -29
1 -14 0 -27
2 -26 -1 -15
3 -26 -2 -15
4 -31 -3 -10
5 -41 -4 0
6 -44 -4 -8
7 -44 -4 -13
7 -44 -3 1
7 -44 -2 -3
8 -57 -2 0
9 -59 -3 2
10 -55 -4 -2
11 -55 -5 -2
12 -59 -5 -11
13 -59 -5 -10
13 -59 -4 -16
13 -59 -3 -21
13 -59 -2 -26
13 -59 -1 -25
13 -59 0 -30
13 -59 1 -31
13 -59 2 -20
13 -59 3 -22
13 -59 4 -16
13 -59 5 -12
13 -59 6 -16
13 -59 7 -2
14 -58 7 -1
15 -56 7 0
16 -48 7 3
17 -50 6 5
18 -43 6 1
19 -37 6 2
20 -34 5 -1
21 -29 5 0
22 -33 5 2
22 -33 6 -5
22 -33 7 -4
23 -25 7 -1
24 -21 7 1
25 -22 6 2
26 -14 5 -6
27 -13 4 -7
28 -12 3 -8
29 -13 2 -7
30 -16 1 -4
31 -15 0 -5
32 -12 -1 -8
33 -16 -2 -4
34 -21 -3 1
35 -19 -4 -1
36 -17 -5 -3
37 -21 -5 1
38 -24 -5 0
39 -26 -6 2
40 -27 -6 3
41 -31 -6 0
42 -33 -7 2
43 -37 -7 0
43 -37 -6 -1
44 -42 -6 0
45 -47 -6 1
45 -47 -5 -2
46 -52 -5 -1
46 -52 -4 -6
46 -52 -3 -10
46 -52 -2 -6
46 -52 -1 -7
46 -52 0 -13
47 -51 0 -23
